% pp non-regulatory
% met non_regulatory
% pd regulatory
% methylation non-regulatory
% phosphorylation non-regulatory
% dephosphorylation non-regulatory
% demethylation non-regulatory
% srna non-regulatory
% expression non-regulatory
% activation non-regulatory
% ubiquination non-regulatory
% glycosylation non-regulatory
% inhibition non-regulatory
% sigma non-regulatory
YGL076C,YNL096C,pp,undirected,0.943
YGL049C,YJR066W,pp,undirected,0.94
YFL017W-A,YMR288W,pp,undirected,0.985
YLR277C,YPR107C,pp,undirected,0.963
YGR148C,YOR312C,pp,undirected,0.943
YMR277W,YML010W,pp,undirected,0.98
YPL079W,YGL189C,pp,undirected,0.943
YDR243C,YHR165C,pp,undirected,0.985
YMR142C,YOL120C,pp,undirected,0.943
YCR031C,YLR344W,pp,undirected,0.943
YOL121C,YPL081W,pp,undirected,0.943
YMR242C,YOR369C,pp,undirected,0.955
YPR102C,YLL045C,pp,undirected,0.943
YGL030W,YPL220W,pp,undirected,0.955
YMR260C,YGL049C,pp,undirected,0.951
YPR102C,YPL079W,pp,undirected,0.943
YGR220C,YJL063C,pp,undirected,0.948
YGL058W,YLR167W,pp,undirected,0.942
YDL028C,YGR188C,pp,undirected,0.951
YDR418W,YLR048W,pp,undirected,0.943
YDL191W,YOL039W,pp,undirected,0.943
YER021W,YKL145W,pp,undirected,0.985
YMR121C,YIL133C,pp,undirected,0.943
YGR063C,YOR207C,pp,undirected,0.949
YGL076C,YOL121C,pp,undirected,0.943
YHR021C,YGR148C,pp,undirected,0.943
YDR064W,YIL133C,pp,undirected,0.955
YKL180W,YGR085C,pp,undirected,0.943
YLR333C,YOL120C,pp,undirected,0.943
YDL007W,YIL075C,pp,undirected,0.985
YJR022W,YHR165C,pp,undirected,0.982
YGR027C,YLR061W,pp,undirected,0.943
YLR340W,YBR189W,pp,undirected,0.955
YDL083C,YJR123W,pp,undirected,0.955
YDL017W,YNL261W,pp,undirected,0.985
YER117W,YIL018W,pp,undirected,0.943
YMR314W,YDR427W,pp,undirected,0.985
YOR369C,YDL075W,pp,undirected,0.955
YER025W,YLR264W,pp,undirected,0.955
YLL011W,YJL069C,pp,undirected,0.985
YOR234C,YKL180W,pp,undirected,0.943
YBR191W,YIL133C,pp,undirected,0.943
YDR382W,YMR121C,pp,undirected,0.943
YJL140W,YOR194C,pp,undirected,0.982
YBR191W,YMR230W,pp,undirected,0.943
YFL034C-A,YDR418W,pp,undirected,0.943
YBR189W,YNL178W,pp,undirected,0.955
YJL140W,YOL005C,pp,undirected,0.985
YBR065C,YPR182W,pp,undirected,0.966
YGL123W,YDL082W,pp,undirected,0.955
YLR009W,YER002W,pp,undirected,0.946
YMR194W,YOR234C,pp,undirected,0.943
